Subject ,Start Date,Start Time,End Time,Location ,Description,End Date
ROPPONGIコントリーグドラフト会議,2025/9/10,22:00,23:00,吉本興業公式YouTubeチャンネル,,
相席食堂,2025/9/16,23:10,24:17:00,ABCテレビ,中野さんのみ,
はらむひとびと,2025/9/26,19:40,21:10,Morc阿佐ヶ谷,※中野さんのみ出演,2025/10/2
はらむひとびと,2025/10/3,15:00,16:30,Morc阿佐ヶ谷,※中野さんのみ出演,2025/10/6
はらむひとびと,2025/10/7,16:00,17:30,Morc阿佐ヶ谷,※中野さんのみ出演。上映後舞台挨拶開催予定,
はらむひとびと,2025/10/8,17:00,18:30,Morc阿佐ヶ谷,※中野さんのみ出演,2025/10/9
三島由紀夫レター教室,2025/10/8,13:00,,紀伊國屋ホール,※中野さんのみ出演,
三島由紀夫レター教室,2025/10/9,19:00,,紀伊國屋ホール,※中野さんのみ出演,
有吉の壁,2025/12/10,19:00,20:35,日本テレビ,,
